nombre,direccion,href
Capredena,Paseo Bulnes 284,"https://www.google.com/maps/dir/-33.4495049,-70.6546862/@-33.4495049,-70.6546862,17z"
Cecofs Quinta Normal-Catamarca,Catamarca 2232,"https://www.google.com/maps/dir/-33.4187867,-70.7109361/@-33.4187867,-70.7109361,17z"
CESFAM Andes,Andes 4234,"https://www.google.com/maps/dir/-33.4341174,-70.6950653/@-33.4341174,-70.6950653,17z"
Clinica Alemana Temuco,Senador Estebanez 645,https://www.google.com/maps/dir/Senador%20Estebanez%20645
Clinica Las Condes,Avda. Lo Fontecilla 441,"https://www.google.com/maps/dir/-33.3836546,-70.5328474/@-33.3836546,-70.5328474,17z"
Clínica Alemana Valdivia,Beauchef 765,https://www.google.com/maps/dir/Beauchef%20765
Clínica Avansalud Providencia,Avda. Salvador 100,"https://www.google.com/maps/dir/-33.4343299,-70.6280095/@-33.4343299,-70.6280095,17z"
Clínica Bio - Bio,Jorge Alessandri N° 1937,"https://www.google.com/maps/dir/-36.7892227,-73.0656697/@-36.7892227,-73.0656697,17z"
Clínica Dávila,Recoleta 464,"https://www.google.com/maps/dir/-33.4274549,-70.6490927/@-33.4274549,-70.6490927,17z"
Clínica Integral Rancagua,Alameda 634,"https://www.google.com/maps/dir/-34.1652597,-70.7453504/@-34.1652597,-70.7453504,17z"
Clínica Intersalud (FUSAT),Carretera El Cobre - Pte. Edo. Frei 1330,"https://www.google.com/maps/dir/-34.18515,-70.7245802/@-34.18515,-70.7245802,17z"
Clínica Los Carrera,Calle Caupolicán N°958,https://www.google.com/maps/dir/Calle%20Caupolic%C3%A1n%20N%C2%B0958
Clínica Los Leones,Avenida Latorre N°98,https://www.google.com/maps/dir/Avenida%20Latorre%20N%C2%B098
Clínica Nueva Cordillera,Alexander Fleming 7885,"https://www.google.com/maps/dir/-33.4254855,-70.5526844/@-33.4254855,-70.5526844,17z"
Clínica San Antonio,Avenida Antonio Palmieri N° 250,https://www.google.com/maps/dir/Avenida%20Antonio%20Palmieri%20N%C2%B0%20250
Clínica Tarapacá,Barros Arana 1550,"https://www.google.com/maps/dir/-20.2229353,-70.1496631/@-20.2229353,-70.1496631,17z"
Clínica Valparaíso,Avenida Brasil N°2350,https://www.google.com/maps/dir/Avenida%20Brasil%20N%C2%B02350
Dar Salud Bandera,Bandera 236 - Subterráneo,"https://www.google.com/maps/dir/-33.4404536,-70.6546259/@-33.4404536,-70.6546259,17z"
Dar Salud La Florida,Vic. Mackenna Poniente 7215,"https://www.google.com/maps/dir/-33.5208575,-70.6038444/@-33.5208575,-70.6038444,17z"
Delegación Municipal del Salvador,Av. Atacama S/N,"https://www.google.com/maps/dir/-26.2476369,-69.6284976/@-26.2476369,-69.6284976,17z"
Edusalud Maipú,Tristán Valdés 66,"https://www.google.com/maps/dir/-33.5050587,-70.7586169/@-33.5050587,-70.7586169,17z"
Fundación Arturo López Pérez (FALP),Avda. Rancagua 878,"https://www.google.com/maps/dir/-33.439063,-70.6247046/@-33.439063,-70.6247046,17z"
Hospital Clínico J.J.Aguirre,Santos Dumont 999,"https://www.google.com/maps/dir/-33.4200316,-70.6553423/@-33.4200316,-70.6553423,17z"
Hospital Clínico Viña del Mar,Calle Limache N° 1741,https://www.google.com/maps/dir/Calle%20Limache%20N%C2%B0%201741
Hospital de Chañaral,AV. Prat S/N,"https://www.google.com/maps/dir/-26.3472474,-70.6196904/@-26.3472474,-70.6196904,17z"
Hospital de Huasco,Calle la cantera #105,"https://www.google.com/maps/dir/-28.4632783,-71.2185787/@-28.4632783,-71.2185787,17z"
Hospital Diego de Almagro,Juan Martinez N° 2200,"https://www.google.com/maps/dir/-26.3924525,-70.0535459/@-26.3924525,-70.0535459,17z"
Hospital Eduardo Pereira,Avenida Ibsen S/N° Cerro Las Delicias,https://www.google.com/maps/dir/Avenida%20Ibsen%20S/N%C2%B0%20Cerro%20Las%20Delicias
Hospital Militar del Norte,General Borgoño N° 957,"https://www.google.com/maps/dir/-23.6672739,-70.4032797/@-23.6672739,-70.4032797,17z"
Ilustre Municipalidad de Andacollo,Calle Plaza Videla N° 50,https://www.google.com/maps/dir/Calle%20Plaza%20Videla%20N%C2%B0%2050
Ilustre Municipalidad de Cabildo,Avenida Humeres N° 499,https://www.google.com/maps/dir/Avenida%20Humeres%20N%C2%B0%20499
Ilustre Municipalidad de Cartagena,Cesfam Crescente Errazuriz N° 665,https://www.google.com/maps/dir/Cesfam%20Crescente%20Errazuriz%20N%C2%B0%20665
Ilustre Municipalidad de Casablanca,"Avenida Portales N° 60, 2do. Piso","https://www.google.com/maps/dir/Avenida%20Portales%20N%C2%B0%2060,%202do.%20Piso"
Ilustre Municipalidad de Catemu,Calle Borjas García Huidobro N° 25,https://www.google.com/maps/dir/Calle%20Borjas%20Garc%C3%ADa%20Huidobro%20N%C2%B0%2025
