region,oficina,direccion,horario,href
antofagasta,antofagasta,simon bolivar n° 250,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Sim%C3%B3n+Bol%C3%ADvar+N%C2%B0+250,-23.644345,-70.397620"
antofagasta,antofagasta so cedi,"jorge washington n° 2384, antofagasta",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Jorge+Washington+N%C2%B0+2384%2C+Antofagasta,-23%2C64796,-70%2C40068"
antofagasta,calama,av. granaderos n° 2240,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Granaderos+N%C2%B0+2240,-22.456879,-68-929117"
antofagasta,maria elena,arturo prat n° 52,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Arturo+Prat+N%C2%B0+52,-22.344916,-69.661009"
antofagasta,mejillones,las heras n° 210,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Las+Heras+N%C2%B0+210,-23.100926,-70.454856"
antofagasta,ollague,teniente merino s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Teniente+Merino+s%2Fn,-21.224532,-68.253145"
antofagasta,san pedro de atacama,pje. gabriela mistral n° 37-a,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Pje.+Gabriela+Mistral+N%C2%B0+37-A,-22.910971,-68.202146"
antofagasta,so bonilla antofagasta,av. bonilla n° 9195,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Bonilla+N%C2%B0+9195,-23.581127,-70.379330"
antofagasta,so hospital antofagasta,av. azapa n° 593,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Azapa+N%C2%B0+593,-23.659305,-70.395885"
antofagasta,taltal,"arturo prat n° 525, piso 2",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Arturo+Prat+N%C2%B0+525%2C+piso+2,-25.410564,-70.491436"
antofagasta,tocopilla,"21 de mayo n° 1645, piso 1",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?21+de+Mayo+N%C2%B0+1645%2C+piso+1,-22.085759,-70.193417"
araucania,angol,"lautaro 226, edificio gobernacion malleco",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Lautaro+226%2C+Edificio+Gobernaci%C3%B3n+Malleco,-38.733994,-72.596717"
araucania,capitan pastene,pedro montt n°461,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Pedro+Montt+N%C2%B0461,-38.194819,-72.991705"
araucania,carahue,"portales 295, 2° piso, esquina villagran",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Portales+295%2C+2%C2%B0+piso%2C+esquina+Villagr%C3%A1n,-38.711329,-73.165958"
araucania,cherquenco,libertad s/n esq carrera,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Libertad+s%2Fn+esq+Carrera,-38.684672,-72.003844"
araucania,cholchol,"balmaceda n° 200, esquina lastarria",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Balmaceda+N%C2%B0+200%2C+esquina+Lastarria,-38.604848,-72.847017"
araucania,collipulli,calle alcazar n° 1.192 de la comuna de collipulli.,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Calle+Alc%C3%A1zar+N%C2%B0+1.192+de+la+comuna+de+Collipulli.,-37.958174,-72.432139"
araucania,cunco,avenida santa maria n°276 comuna cunco,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Avenida+Santa+Mar%C3%ADa+N%C2%B0276+comuna+Cunco,-38.932294156284215,-72.02810861170298"
araucania,curacautin,bernardo o'higgins n°908,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Bernardo+O%27higgins+N%C2%B0908,-38.440128,-71.887625"
araucania,curarrehue,heroes de la concepcion n°77,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?H%C3%A9roes+de+La+Concepci%C3%B3n+N%C2%B077,-39.361641,-71.589025"
araucania,ercilla,comercio n°510,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Comercio+N%C2%B0510,-38.055289,-72.383276"
araucania,freire,camales n°113,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Camales+N%C2%B0113,-38.957273,-72.626937"
araucania,galvarino,independencia n°81,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Independencia+N%C2%B081,-38.408856,-72.782120"
araucania,gorbea,ramon freire n° 590,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Ram%C3%B3n+Freire+N%C2%B0+590,-39.107453,-72.675399"
araucania,lautaro,"vicuna mackenna n°390, esq rodriguez",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Vicu%C3%B1a+Mackenna+N%C2%B0390%2C+esq+Rodr%C3%ADguez,-38.508428,-72.454132"
araucania,llaima,aurelio letelier n°300,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Aurelio+Letelier+N%C2%B0300,-38.886682,-71.751355"
araucania,loncoche,avda. prat n° 576,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Avda.+Prat+N%C2%B0+576,-39.368109,-72.631512"
araucania,lonquimay,av. bernardo o'higgins n°1315,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Bernardo+O%27higgins+N%C2%B01315,-38.454168,-71.369779"
araucania,los laureles,artemio gutierrez n° 650,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Artemio+Guti%C3%A9rrez+N%C2%B0+650,-38.988469,-72.247989"
araucania,los sauces,balmaceda n° 360,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Balmaceda+N%C2%B0+360,-37.983090,-72.829056"
araucania,lumaco,"balmaceda s/n, recinto centro cultural",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Balmaceda+S%2FN%2C+Recinto+Centro+Cultural,-38.163851,-72.903214"
araucania,nueva imperial,patricio lynch n°98,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Patricio+Lynch+N%C2%B098,-38.746511,-72.954192"
araucania,padre las casas,"maquehue n° 850, local 8 y 10",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Maquehue+N%C2%B0+850%2C+Local+8+y+10,-38.767819,-72.596127"
araucania,perquenco,esmeralda n° 320,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Esmeralda+N%C2%B0+320,-38.421167,-72.377608"
araucania,pichi-pellahuen,calle principal s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Calle+Principal+s%2Fn,-38.324033,-72.999433"
araucania,pitrufquen,"francisco bilbao n°593, 2° piso",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Francisco+Bilbao+N%C2%B0593%2C+2%C2%B0+piso,-38.987399,-72.637732"
araucania,pucon,camino internacional n°1355,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Camino+Internacional+N%C2%B01355,-39.272182,-71.977640"
araucania,puerto dominguez,alessandri n°260,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Alessandri+N%C2%B0260,-38.897913,-73.250313"
araucania,puerto saavedra,ejercito s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Ej%C3%A9rcito+s%2Fn,-38.782658,-73.399980"
araucania,puren,dr. garriga n°995,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Dr.+Garriga+N%C2%B0995,-38.030262,-73.081509"
araucania,renaico,caupolican n°56,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Caupolic%C3%A1n+N%C2%B056,-37673767,-72.589204"
araucania,so hospital temuco,manuel montt n°115,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Manuel+Montt+N%C2%B0115,-38.736942,-72.599679"
araucania,so labranza,"avenida 1 norte, n° 10, locales 12 y 13",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Avenida+1+Norte%2C+N%C2%B0+10%2C+Locales+12+y+13,-38.76633954746901,-72.75265574455256"
araucania,so pueblo nuevo,av. rudecindo ortega n°01780 (mall easton) local n°157,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Rudecindo+Ortega+N%C2%B001780+%28MALL+EASTON%29+Local+N%C2%B0157,-38.767431,-72.846115"
araucania,so temuco (c.e.i),"vicuna mackenna n°711, esq antonio varas",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Vicu%C3%B1a+Mackenna+N%C2%B0711%2C+esq+Antonio+Varas,-38.740202,-72.592288"
araucania,so temuco (c.e.v),"andres bello 791, temuco",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Andres+Bello+791%2C+Temuco,-38.741406290662596,-72.59118463956452"
araucania,temuco,"claro solar n°875, 1° piso",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Claro+Solar+N%C2%B0875%2C+1%C2%B0+piso,-38.739605,-72.589291"
araucania,teodoro schmidt,balmaceda n°223,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Balmaceda+N%C2%B0223,-38.999177,-73.094295"
