"","region","comuna","mod_comuna","direccion","iframe_info","latlot","horario","chileatiende"
"1","region de arica y parinacota","arica","sin modificador","direccion: juan noe n° 933","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3784.095577427298!2d-70.31309898565583!3d-18.47932939960757!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x915aa9bfc9fad81d%3A0x1f409e59c9f6eb56!2sDr.+Juan+Noe+933%2C+Arica%2C+Regi%C3%B3n+de+Arica+y+Parinacota%2C+Chile!5e0!3m2!1ses-419!2scl!4v1482937865998","https://maps.google.com/maps?ll=-18.479474,-70.310534&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Dr.%20Juan%20Noe%20933%20Arica%20Arica%20y%20Parinacota","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"2","region de arica y parinacota","putre","sin modificador","direccion: jose miguel carrera n° 350","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3790.2814518843475!2d-69.5619159856619!3d-18.19698559145563!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x915098b42087d17b%3A0xc5ed5ee933757186!2sPutre%2C+Regi%C3%B3n+de+Arica+y+Parinacota%2C+Chile!5e0!3m2!1ses-419!2scl!4v1482939080837","https://maps.google.com/maps?ll=-18.197313,-69.557549&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Putre%20Arica%20y%20Parinacota","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"3","region de tarapaca","alto hospicio","sin modificador","direccion: avenida la pampa n° 3117, locales 17 y 18.","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3742.711996279077!2d-70.10400898561511!3d-20.270775754229852!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x915214e3b87a2deb%3A0xb733cba2fc7a52a6!2sLa+Pampa+3117%2C+Alto+Hospicio%2C+Regi%C3%B3n+de+Tarapac%C3%A1%2C+Chile!5e0!3m2!1ses-419!2scl!4v1482945639335","https://maps.google.com/maps?ll=-20.270839,-70.101822&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Av.%20la%20Pampa%203117%20Alto%20Hospicio%20Tarapac%C3%A1","horario de atencion: lunes a viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"4","region de tarapaca","iquique","sin modificador","direccion: tarapaca n° 568","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3744.0802976423265!2d-70.15175158561645!3d-20.213984052421637!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9152115595ccad3f%3A0xe33145c1097fdd56!2zVGFyYXBhY8OhIDU2OCwgSXF1aXF1ZSwgUmVnacOzbiBkZSBUYXJhcGFjw6EsIENoaWxl!5e0!3m2!1ses-419!2scl!4v1482945581648","https://maps.google.com/maps?ll=-20.21392,-70.149587&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Tarapac%C3%A1%20568%20Iquique%20Tarapac%C3%A1","horario de atencion: lunes a viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"5","region de tarapaca","pozo almonte","sin modificador","direccion: aldunate n° 310","https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d1871.5099190242283!2d-69.786229!3d-20.258012!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x257c5c6cd7945e2c!2sINP!5e0!3m2!1ses-419!2scl!4v1535381515438","https://maps.google.com/maps?ll=-20.258012,-69.786229&z=17&t=m&hl=es-419&gl=CL&mapclient=embed&cid=2701135499058503212","horario de atencion: lunes, martes, jueves y viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"6","region de antofagasta","antofagasta","sin modificador","direccion: sucre n° 311, 2º piso","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3654.843471956296!2d-70.39984758553038!3d-23.64577607059904!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96afd517d878e745%3A0x4f09a8c764326e2a!2sAntonio+Jos%C3%A9+de+Sucre+311%2C+Antofagasta%2C+Regi%C3%B3n+de+Antofagasta%2C+Chile!5e0!3m2!1ses-419!2sus!4v1482947149385","https://maps.google.com/maps?ll=-23.64572,-70.39767&z=16&t=m&hl=es-419&gl=US&mapclient=embed&q=Antonio%20Jos%C3%A9%20de%20Sucre%20311%20Antofagasta%20Chile","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"7","region de antofagasta","calama","sin modificador","direccion: general velasquez s/n - plaza de armas 23 de marzo","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3687.1392545542913!2d-68.92962148498147!3d-22.461400727776702!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96ac09c859ee5a63%3A0xc2883951867d8ded!2sGral+Jos%C3%A9+Vel%C3%A1squez%2C+Calama%2C+Regi%C3%B3n+de+Antofagasta!5e0!3m2!1ses-419!2scl!4v1535125657270","https://maps.google.com/maps?ll=-22.461989,-68.927381&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Gral%20Jos%C3%A9%20Vel%C3%A1squez%20Calama%20Antofagasta","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"8","region de antofagasta","mejillones","sin modificador","direccion: avda. juan jose latorre nº 516-520","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3463.9190359671197!2d-70.45102869035811!3d-23.10094435675818!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96b1e2bea08e98d5%3A0x581d31ed0ce3326e!2sAv. Almte. Latorre 611%2C Mejillones%2C Antofagasta!5e0!3m2!1ses!2scl!4v1578426291607!5m2!1ses!2scl","https://maps.google.com/maps?ll=-23.100176,-70.449203&z=16&t=m&hl=es&gl=CL&mapclient=embed&q=Av.%20Almte.%20Latorre%20611%20Mejillones%20Antofagasta","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"9","region de antofagasta","taltal","sin modificador","direccion: serrano n° 679","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3603.922211107477!2d-70.48598938548193!3d-25.40741433822211!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96bb345440fe86e7%3A0x710e7125120055f6!2sSerrano+679%2C+Taltal%2C+Regi%C3%B3n+de+Antofagasta%2C+Chile!5e0!3m2!1ses-419!2sus!4v1482947644699","https://maps.google.com/maps?ll=-25.407482,-70.483918&z=16&t=m&hl=es-419&gl=US&mapclient=embed&q=Serrano%20679%20Taltal%20Antofagasta%20Chile","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"10","region de antofagasta","tocopilla","sin modificador","direccion: simon bolivar n° 1238","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1307.0327653640627!2d-70.20250119933883!3d-22.09366211805175!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96ad77a84e656b81%3A0xb7e1213254dc34c8!2sBol%C3%ADvar+1238%2C+Tocopilla%2C+Regi%C3%B3n+de+Antofagasta!5e0!3m2!1ses-419!2scl!4v1535126026450","https://maps.google.com/maps?ll=-22.093739,-70.202564&z=17&t=m&hl=es-419&gl=CL&mapclient=embed&q=Bol%C3%ADvar%201238%20Tocopilla%20Antofagasta","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
