region,comuna,titulo,comunas_atiende,direccion,horario
region de arica y parinacota,arica,direccion regional de arica,"comunas: arica, camarones, putre, general lagos.","calle sotomayor 420, arica.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de tarapaca,alto hospicio,oficina alto hospicio,"comunas: alto hospicio, pozo almonte, pica, huara, camina y colchane","pasaje huantajaya nº 3130, alto hospicio",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de tarapaca,camina,d. regional iquique,"comunas: iquique, pica, pozo almonte, huara, camina, colchane, alto hospicio.","direccion: pasaje huantajaya nº 3130, alto hospicio",horario de atencion: 10:00 a 13:00 hrs.
region de antofagasta,antofagasta,d. regional antofagasta,"comunas: antofagasta, mejillones, sierra gorda.","oficina del sii lugar de atencion actual direccion regional, departamento de fiscalizacion, departamento juridico, departamento de administracion y oficina de procedimientos administrativos y tributarios (opat), departamento de asistencia al contribuyente y departamento de avaluaciones calle general velasquez 1064, pisos 2, 3, 4, 5 y 6.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de antofagasta,calama,unidad de calama,"comunas: calama, san pedro de atacama, ollague.","calle 4 poniente 2660, villa exotica, calama",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de antofagasta,maria elena,unidad de tocopilla,"comunas: tocopilla, maria elena.","21 de mayo 1653, 2º piso tocopilla, edificio gobernacion.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de antofagasta,tal tal,unidad de tal-tal,comunas: tal-tal.,"arturo prat 525, tal-tal.",horario de atencion: (2 veces por mes) jueves y viernes s 8:45 a 13:45 hrs.
region de atacama,alto del carmen,unidad de vallenar,"comunas: vallenar, freirina, huasco, alto del carmen.",calle sargento aldea nº 697,horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de atacama,caldera,direccion regional copiapo,"comunas: copiapo, caldera, tierra amarilla.","alameda manuel antonio matta nº 245, copiapo.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de atacama,chanaral,unidad de chanaral,comunas: chanaral y diego de almagro.,"buin s/n, piso 3, edificio gobernacion, chanaral.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de atacama,diego de almagro,unidad de chanaral,comunas: chanaral y diego de almagro.,"buin s/n, piso 3, edificio gobernacion, chanaral.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
