Servicio	Oficinas	Fuente
Agua	Sanitarias	Dependerá de la región
Electricidad	Empresas eléctricas	Dependerá de la región
Correos	CorreosChile	https://www.correos.cl/ca/web/guest/sucursales
FONASA	FONASA	https://www.fonasa.cl/sites/fonasa/beneficiarios/tramites/sucursales
SERVEL	SERVEL	https://www.servel.cl/direcciones-regionales/
Registro Civil	Oficinas comunales y centros especializados	https://www.registrocivil.cl/principal/paginas-frecuentes/nuestras-oficinas
SII	Direcciones Regionales y Unidades municipales	https://www.sii.cl/ayudas/asistencia/oficinas/3048-3049.html
SERVIU	OIRS	https://www.minvu.cl/sobre-minvu/oficinas-de-atencion-presencial/
Chile Atiende	Oficinas municipales	https://www.minvu.cl/sobre-minvu/oficinas-de-atencion-presencial/
INJUV	Dirección Nacional y Regional	http://www.injuv.gob.cl/injuv-regiones
IPS	Oficinas IPS	https://www.ips.gob.cl/servlet/internet/inicio/red-de-atencion/sucursales
SENCE	OIRS	http://www.sence.cl/portal/Regiones/
CORFO	Oficina central y Dirección Regional	https://www.corfo.cl/sites/cpp/canales_de_atenci%C3%B3n
SERCOTEC	Oficina Regional	https://www.sercotec.cl/mapa-de-oficinas/
SERNATUR	Oficinas de información turística	https://www.sernatur.cl/oficinas-informacion/
DIDECO Municipal	Direcciones municipales	Dependerá de cda municipio
Corporación de Asistencia Judicial	Centros de atención	http://www.cajmetro.cl/buscardordecentros/
Dirección de tránsito Municipal	Direcciones Municipales	Dependerá de cda municipio
Corporación de deportes Municipal	Departamentos, Corporaciones y oficinas	Dependerá de cda municipio
Aseo y Ornato Municipal	Dirección de aseo y ornato y Direcciones de medio ambiente	Dependerá de cda municipio
Juzgados de policía local	Juzgados de policía local comunales	Dependerá de cda municipio
Ministerio de Economía	OIRS	https://www.economia.gob.cl/contactenos#tabla-seremias
SERNAC	Oficinas Comunales	https://www.sernac.cl/transparencia/archives/2015/1/direccion_oficinas.html
SERNAPESCA	OIRS	http://www.sernapesca.cl/nuestras-oficinas
MINEDUC	Oficinas de ayuda	https://www.ayudamineduc.cl/oficina-regional
Ministerio de Desarrollo Social	OIRS	http://www.desarrollosocialyfamilia.gob.cl/oficinas-en-el-pais
CONADI	Oficina de Asuntos Indígenas	http://www.conadi.gob.cl/conadi-en-el-pais
SENADIS	Espacio de Atención	https://www.senadis.gob.cl/pag/190/1408/direcciones_y_telefonos
SENAMA	Oficina Central y Metropolitana	http://www.senama.gob.cl/senama-regiones
MINTRAB	Centros de conciliación e inspecciones municipales	https://www.dt.gob.cl/portal/1626/w3-propertyvalue-22792.html
MOP	OIRS	http://oirs.mop.gov.cl/
MINSAL	OIRS y SEREMI	"https://oirs.minsal.cl/seremis.aspx
https://oirs.minsal.cl/serviciossalud.aspx"
MINAGRI	OIRS central y metropolitana	http://transparencia.minagri.gob.cl/direccion_oficinas.html
SAG	OIRS y oficinas centrales	http://www.sag.cl/directorio-oficinas?field_comuna_of_tid=1054&field_comuna_of_tid_1=All
MTT	OIRS	https://www.mtt.gob.cl/zonacentro
Ministerio de Energía	OIRS	https://energia.gob.cl/regiones
MMA	OIRS	https://mma.gob.cl/contacto/
Ministerio de Mujer y la Equidad de Género	OIRS	https://minmujeryeg.gob.cl/?page_id=1272
SERNAMEG	Centros de la mujer	https://www.sernameg.gob.cl/?page_id=31
Consejo de la Cultura	Edificio Institucional y OIRS	https://www.cultura.gob.cl/atencion-ciudadana/oirs/
Notarias	Notarías	www.notariosyconservadores.cl
